:9
100nF:5
10K:11
10R:1
1K:2
1uF:1
2.2uF:1
22uF:1
3V3:1
4K7:1
B1:1
C4:1
D2:1
D4:1
D6:1
DS1:1
G:1
G***:1
J1:1
J2:1
Q1:1
Q2:1
Q3:1
Q4:1
R:1
R15:1
R16:1
R6:1
R9:1
SW1:1
SW10:1
SW11:1
SW12:1
SW2:1
SW4:1
SW5:1
SW6:1
SW7:1
SW8:1
SW9:1
U1:1
U2:1
U3:1
U5:1
